"id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","prediction_prob","prediction_class"
228,"Pltano","06/03/2012 09:41","Alto (> 8 mts)",180,"Grande",-68.8380639089,-32.8700831815,4,"Cuarta Oeste",1173332.70145,0,0.501920477952808,1
253,"Paraiso sombrilla","07/03/2012 11:49","Medio (4 - 8 mts)",150,"Grande",-68.8221276323,-32.8669915711,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.624755726894364,1
266,"Morera","07/03/2012 11:10","Medio (4 - 8 mts)",104,"Grande",-68.8225027702,-32.8667822706,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.474603606853634,0
295,"Fresno europeo","05/03/2012 13:33","Bajo (2 - 4 mts)",120,"Grande",-68.8226190791,-32.8676765909,4,"Cuarta Este Área Fundacional",1822015.85685,1,0.603319060523063,1
308,"Fresno europeo","05/03/2012 13:06","Alto (> 8 mts)",130,"Grande",-68.8222502473,-32.8671150395,4,"Cuarta Este Área Fundacional",1822015.85685,1,0.639819396194071,1
311,"Acer","05/03/2012 12:57","Medio (4 - 8 mts)",120,"Grande",-68.8220301975,-32.8671218446,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.936004022136331,1
317,"lamo criollo","05/03/2012 12:41","Alto (> 8 mts)",280,"Grande",-68.8215088145,-32.8671385045,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.593201814685017,1
320,"Morera","07/03/2012 11:02","Medio (4 - 8 mts)",150,"Grande",-68.8201615859,-32.867324059,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.685996172716841,1
332,"Caducifolio","07/03/2012 10:16","Muy bajo (1 - 2 mts)",4,"Chico",-68.8206314205,-32.8678089443,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.934793622232974,1
337,"Morera","07/03/2012 09:56","Medio (4 - 8 mts)",80,"Grande",-68.8209340192,-32.8677989785,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.193265138426796,0
339,"Morera","07/03/2012 09:53","Bajo (2 - 4 mts)",36,"Mediano",-68.8211035386,-32.8677955611,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.000730051193386316,0
341,"Morera","07/03/2012 09:50","Medio (4 - 8 mts)",110,"Grande",-68.8212466236,-32.8677897522,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.913285318296403,1
344,"Morera","07/03/2012 09:40","Medio (4 - 8 mts)",110,"Grande",-68.8213236782,-32.8676052395,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.638225659029558,1
348,"Paraiso sombrilla","07/03/2012 09:34","Bajo (2 - 4 mts)",75,"Grande",-68.8212900713,-32.8673360267,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.212269629118964,0
349,"Morera","07/03/2012 09:32","Medio (4 - 8 mts)",150,"Grande",-68.8212860356,-32.8673019621,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.375981679419056,0
360,"Morera","06/03/2012 13:05","Medio (4 - 8 mts)",140,"Grande",-68.8204522028,-32.8671792612,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.339238094864413,0
361,"Morera","06/03/2012 13:03","Medio (4 - 8 mts)",160,"Grande",-68.8204023729,-32.8671826432,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.221320781391114,0
392,"Morera","05/03/2012 11:32","Alto (> 8 mts)",168,"Grande",-68.8200578238,-32.8677087511,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.095270125195384,0
396,"Morera","05/03/2012 11:24","Alto (> 8 mts)",185,"Grande",-68.8200295583,-32.8675016291,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.62514203437604,1
400,"Ligustro","05/03/2012 11:17","Alto (> 8 mts)",130,"Grande",-68.8199019368,-32.8671916251,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.105010325554758,0
413,"Fresno americano","06/03/2012 12:38","Medio (4 - 8 mts)",120,"Grande",-68.8185999883,-32.8672860017,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.689760144101456,1
415,"Morera","06/03/2012 12:34","Medio (4 - 8 mts)",70,"Grande",-68.8183360151,-32.8673146478,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.95184761704877,1
418,"Acer","06/03/2012 12:27","Medio (4 - 8 mts)",130,"Grande",-68.8180617823,-32.8673495768,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.831832499010488,1
422,"Morera","06/03/2012 12:19","Medio (4 - 8 mts)",150,"Grande",-68.8176405358,-32.8674092606,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.0461115615908056,0
423,"Prunas","06/03/2012 12:17","Bajo (2 - 4 mts)",36,"Mediano",-68.8175928977,-32.8674337091,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.405172846280038,0
430,"Acer","06/03/2012 11:47","Bajo (2 - 4 mts)",36,"Mediano",-68.8174323986,-32.8678074888,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.405778315616772,0
431,"Morera","06/03/2012 11:32","Bajo (2 - 4 mts)",24,"Mediano",-68.8174425301,-32.867849023,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.704863000428304,1
435,"Acer","06/03/2012 11:22","Muy bajo (1 - 2 mts)",12,"Chico",-68.8175554938,-32.8680475506,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.325762230437249,0
437,"Paraiso sombrilla","06/03/2012 11:19","Bajo (2 - 4 mts)",80,"Grande",-68.8176214761,-32.8680311954,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.210105120204389,0
438,"Morera","06/03/2012 11:17","Muy bajo (1 - 2 mts)",8,"Chico",-68.8176995362,-32.8680132915,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.841074297204614,1
443,"Morera","06/03/2012 10:59","Medio (4 - 8 mts)",90,"Grande",-68.8181543076,-32.8679206082,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.28926271921955,0
448,"Paraiso sombrilla","05/03/2012 18:30","Medio (4 - 8 mts)",150,"Grande",-68.8186283429,-32.8678875405,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.174915150506422,0
451,"Morera","05/03/2012 18:21","Medio (4 - 8 mts)",140,"Grande",-68.8187626756,-32.8676594587,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.113093654857948,0
453,"Paraiso sombrilla","05/03/2012 18:17","Medio (4 - 8 mts)",100,"Grande",-68.8187564646,-32.8675160902,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.269961282378063,0
466,"Morera","07/03/2012 11:07","Alto (> 8 mts)",148,"Grande",-68.8217680874,-32.8686025603,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.506141798570752,1
482,"Fresno europeo","07/03/2012 10:41","Muy bajo (1 - 2 mts)",16,"Chico",-68.8227024673,-32.8682332782,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.0818324380088598,0
487,"Fresno europeo","07/03/2012 10:03","Medio (4 - 8 mts)",145,"Grande",-68.8226703547,-32.8679905353,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.113260691752657,0
494,"Morera","07/03/2012 09:45","Alto (> 8 mts)",138,"Grande",-68.8222054302,-32.8678896719,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.14344370411709,0
496,"Morera","07/03/2012 09:42","Alto (> 8 mts)",150,"Grande",-68.8220500205,-32.867892716,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.815374840050936,1
501,"Morera","07/03/2012 09:21","Alto (> 8 mts)",120,"Grande",-68.8216700602,-32.8679039412,4,"Cuarta Este Área Fundacional",1822015.85685,1,0.20179795101285,0
506,"Morera","08/03/2012 19:19","Medio (4 - 8 mts)",120,"Grande",-68.8202872534,-32.8681742704,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.539262590231374,1
512,"Morera","08/03/2012 18:44","Bajo (2 - 4 mts)",32,"Mediano",-68.8203206305,-32.8684585828,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.0269562019966543,0
520,"Morera","08/03/2012 18:29","Medio (4 - 8 mts)",100,"Grande",-68.820751821,-32.8686305963,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.148362289182842,0
525,"Morera","08/03/2012 18:15","Muy bajo (1 - 2 mts)",3,"Chico",-68.8210766105,-32.868620589,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.266222700010985,0
526,"Fresno europeo","08/03/2012 18:13","Muy bajo (1 - 2 mts)",3,"Chico",-68.8211496244,-32.8686195582,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.392889787675813,0
527,"Morera","08/03/2012 18:12","Alto (> 8 mts)",200,"Grande",-68.8212348059,-32.8686191317,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.834316074149683,1
531,"Morera","08/03/2012 17:59","Bajo (2 - 4 mts)",20,"Chico",-68.8214477588,-32.8684996196,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.892782176611945,1
533,"Morera","08/03/2012 17:55","Medio (4 - 8 mts)",120,"Grande",-68.8214265293,-32.868357311,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.346167901298031,0
546,"Morera","08/03/2012 17:24","Muy bajo (1 - 2 mts)",4,"Chico",-68.8209250115,-32.867929494,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.600669346982613,1
559,"Morera","09/03/2012 07:46","Medio (4 - 8 mts)",180,"Grande",-68.8189861651,-32.8683121851,4,"Cuarta Este Área Fundacional",1822015.85685,1,0.791912385029718,1
561,"Morera","09/03/2012 07:43","Alto (> 8 mts)",160,"Grande",-68.8190072511,-32.8684963857,4,"Cuarta Este Área Fundacional",1822015.85685,1,0.597875733627006,1
578,"Morera","08/03/2012 10:54","Alto (> 8 mts)",168,"Grande",-68.8199852537,-32.8686512066,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.0938190740998834,0
583,"Morera","08/03/2012 09:48","Alto (> 8 mts)",180,"Grande",-68.8201567064,-32.8685102362,4,"Cuarta Este Área Fundacional",1822015.85685,1,0.334213553229347,0
593,"Morera","08/03/2012 09:31","Alto (> 8 mts)",100,"Grande",-68.820011778,-32.8679602206,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.0134195967111737,0
605,"Fresno europeo","08/03/2012 08:22","Medio (4 - 8 mts)",50,"Mediano",-68.8193692492,-32.8679812417,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.417556693311781,0
613,"Perenne","08/03/2012 08:06","Muy bajo (1 - 2 mts)",10,"Chico",-68.8191289528,-32.8679865067,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.518215834861621,1
624,"Acacia SP","07/03/2012 17:40","Bajo (2 - 4 mts)",40,"Mediano",-68.8188505311,-32.8685684161,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.0666192087810487,0
625,"Morera","07/03/2012 17:42","Alto (> 8 mts)",140,"Grande",-68.8188574669,-32.8686192204,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.718868427211419,1
654,"Morera","07/03/2012 15:50","Medio (4 - 8 mts)",84,"Grande",-68.8177525958,-32.8681408936,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.768891053972766,1
660,"Paraiso","07/03/2012 16:05","Medio (4 - 8 mts)",120,"Grande",-68.8180015417,-32.8680886557,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.934637708822265,1
663,"Morera","07/03/2012 16:15","Medio (4 - 8 mts)",110,"Grande",-68.8182431856,-32.8680452757,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.829525674460456,1
686,"Perenne","19/07/2011 10:44","Muy bajo (1 - 2 mts)",18,"Chico",-68.8415291368,-32.8637287447,4,"Cuarta Oeste",1173332.70145,0,0.276809229049832,0
691,"Fresno europeo","19/07/2011 12:08","Alto (> 8 mts)",75,"Grande",-68.8410491626,-32.8633084083,4,"Cuarta Oeste",1173332.70145,0,0.472246919991449,0
700,"Pltano","09/08/2011 10:55","Alto (> 8 mts)",350,"Grande",-68.833127476,-32.8647464805,4,"Cuarta Oeste",1173332.70145,0,0.751924171112478,1
703,"Morera","09/08/2011 10:19","Alto (> 8 mts)",140,"Grande",-68.8337971817,-32.864775843,4,"Cuarta Oeste",1173332.70145,1,0.503738413797691,1
712,"Eucalyptus","17/12/2011 08:56","Bajo (2 - 4 mts)",30,"Mediano",-68.8812389634,-32.8732133221,8,"Aeroparque",2203364.73622,0,0.830785006284714,1
715,"Paraiso sombrilla","17/12/2011 09:08","Muy bajo (1 - 2 mts)",10,"Chico",-68.8813215183,-32.8731279676,8,"Aeroparque",2203364.73622,0,0.36612544558011,0
731,"Paraiso sombrilla","19/12/2011 08:55","Bajo (2 - 4 mts)",26,"Mediano",-68.88123911,-32.872389278,8,"Aeroparque",2203364.73622,0,0.419877821346745,0
733,"Paraiso","19/12/2011 10:26","Bajo (2 - 4 mts)",40,"Mediano",-68.8807497404,-32.8723096121,8,"Aeroparque",2203364.73622,0,0.0808174049016088,0
750,"Paraiso sombrilla","19/12/2011 09:10","Medio (4 - 8 mts)",130,"Grande",-68.8812650071,-32.8737780988,8,"Aeroparque",2203364.73622,0,0.878480340121314,1
755,"Paraiso","15/12/2011 08:12","Muy bajo (1 - 2 mts)",2,"Chico",-68.8803697018,-32.8666762384,8,"Aeroparque",2203364.73622,0,0.401124693453312,0
760,"Perenne","15/12/2011 08:07","Bajo (2 - 4 mts)",80,"Grande",-68.8804605529,-32.8670100599,8,"Aeroparque",2203364.73622,0,0.574973272858188,1
765,"Aguaribay","14/12/2011 11:12","Medio (4 - 8 mts)",35,"Mediano",-68.8805341773,-32.8672805847,8,"Aeroparque",2203364.73622,1,0.290902369655669,0
779,"Aguaribay","14/12/2011 10:42","Alto (> 8 mts)",130,"Grande",-68.879753211,-32.867546219,8,"Aeroparque",2203364.73622,0,0.158623275114223,0
781,"Morera","14/12/2011 10:37","Bajo (2 - 4 mts)",20,"Chico",-68.879605833,-32.867526496,8,"Aeroparque",2203364.73622,0,0.661505921045318,1
784,"Aguaribay","14/12/2011 10:33","Bajo (2 - 4 mts)",35,"Mediano",-68.879554013,-32.8673239091,8,"Aeroparque",2203364.73622,0,0.84529131418094,1
786,"Acer","14/12/2011 10:28","Medio (4 - 8 mts)",20,"Chico",-68.8794775004,-32.8670438004,8,"Aeroparque",2203364.73622,0,0.668465897906572,1
787,"Aguaribay","14/12/2011 10:24","Alto (> 8 mts)",150,"Grande",-68.8794351697,-32.8668729776,8,"Aeroparque",2203364.73622,0,0.857320335926488,1
795,"Paraiso","14/12/2011 10:12","Medio (4 - 8 mts)",70,"Grande",-68.8797448341,-32.8665687136,8,"Aeroparque",2203364.73622,0,0.257056925911456,0
803,"Paraiso","13/12/2011 13:02","Medio (4 - 8 mts)",78,"Grande",-68.8800682729,-32.8655015383,8,"Aeroparque",2203364.73622,0,0.290159247815609,0
824,"Aguaribay","16/12/2011 11:31","Medio (4 - 8 mts)",100,"Grande",-68.8822305153,-32.867066403,8,"Aeroparque",2203364.73622,0,0.725000849692151,1
831,"Aguaribay","15/12/2011 08:12","Medio (4 - 8 mts)",110,"Grande",-68.8817256858,-32.8671629744,8,"Aeroparque",2203364.73622,0,0.045316360425204,0
838,"Aguaribay","14/12/2011 11:35","Bajo (2 - 4 mts)",30,"Mediano",-68.881038295,-32.8672944535,8,"Aeroparque",2203364.73622,0,0.44473565556109,0
854,"Aguaribay","16/12/2011 11:31","Medio (4 - 8 mts)",100,"Grande",-68.8805300976,-32.86667283,8,"Aeroparque",2203364.73622,0,0.469606148544699,0
858,"Aguaribay","15/12/2011 08:15","Bajo (2 - 4 mts)",76,"Grande",-68.880490212,-32.8665225839,8,"Aeroparque",2203364.73622,0,0.243028027238324,0
874,"Aguaribay","14/12/2011 11:25","Bajo (2 - 4 mts)",50,"Mediano",-68.8802638316,-32.8656702354,8,"Aeroparque",2203364.73622,0,0.449617002159357,0
887,"Fresno europeo","17/01/2012 12:07","Bajo (2 - 4 mts)",50,"Mediano",-68.8475241905,-32.8752954825,6,"Residencial Norte",2694682.37982,0,0.37536614947021,0
894,"Paraiso","17/01/2012 08:30","Medio (4 - 8 mts)",95,"Grande",-68.8472827725,-32.8734407581,6,"Residencial Norte",2694682.37982,1,0.909416378941387,1
904,"Fresno europeo","18/01/2012 12:36","Alto (> 8 mts)",170,"Grande",-68.8461035794,-32.8730876523,6,"Residencial Norte",2694682.37982,0,0.00285903480835259,0
920,"Jacarand","15/01/2012 10:46","Bajo (2 - 4 mts)",28,"Mediano",-68.8541010002,-32.8719491156,6,"Residencial Norte",2694682.37982,0,0.415139038814232,0
925,"Fresno europeo","16/01/2012 12:46","Muy bajo (1 - 2 mts)",3,"Chico",-68.8528412018,-32.8719377159,6,"Residencial Norte",2694682.37982,0,0.0849845502525568,0
934,"Morera","13/01/2012 19:17","Medio (4 - 8 mts)",100,"Grande",-68.8503960711,-32.8729352534,6,"Residencial Norte",2694682.37982,0,0.0636638680007309,0
945,"Paraiso","10/01/2012 17:35","Muy bajo (1 - 2 mts)",8,"Chico",-68.848539123,-32.8731849981,6,"Residencial Norte",2694682.37982,0,0.523128861794248,1
950,"Fresno europeo","10/01/2012 12:52","Muy bajo (1 - 2 mts)",5,"Chico",-68.8473396067,-32.8728682779,6,"Residencial Norte",2694682.37982,0,0.386496115243062,0
954,"Prunas","10/01/2012 18:04","Muy bajo (1 - 2 mts)",4,"Chico",-68.848005005,-32.8727434984,6,"Residencial Norte",2694682.37982,0,0.82032050867565,1
956,"Morera","11/01/2012 12:32","Muy bajo (1 - 2 mts)",10,"Chico",-68.8346645967,-32.8950678179,3,"Parque O'Higgins",1531146.02653,0,0.0616606092080474,0
976,"Paraiso","16/01/2012 10:24","Alto (> 8 mts)",105,"Grande",-68.8361469605,-32.8681333464,4,"Cuarta Oeste",1173332.70145,0,0.514146159170195,1
984,"Morera","16/01/2012 09:31","Bajo (2 - 4 mts)",18,"Chico",-68.8351320438,-32.8687004799,4,"Cuarta Oeste",1173332.70145,0,0.774709455203265,1
992,"Pltano","16/01/2012 09:05","Alto (> 8 mts)",135,"Grande",-68.8354210723,-32.868004554,4,"Cuarta Oeste",1173332.70145,1,0.591507780132815,1
995,"Morera","19/04/2011 10:21","Alto (> 8 mts)",123,"Grande",-68.8391674428,-32.8797153558,1,"Parque Central",1655357.93265,0,0.378983638016507,0
1003,"Paraiso","19/04/2011 13:27","Medio (4 - 8 mts)",54,"Mediano",-68.8377638554,-32.8789473304,1,"Parque Central",1655357.93265,0,0.0978374006226659,0
1006,"Aguaribay","14/12/2011 11:22","Bajo (2 - 4 mts)",36,"Mediano",-68.8802257504,-32.8653705122,8,"Aeroparque",2203364.73622,0,0.144550734199584,0
1024,"Aguaribay","14/12/2011 11:06","Medio (4 - 8 mts)",40,"Mediano",-68.8815285073,-32.8651158587,8,"Aeroparque",2203364.73622,0,0.254153457935899,0
1036,"Aguaribay","14/12/2011 10:47","Medio (4 - 8 mts)",120,"Grande",-68.8823897088,-32.8649510288,8,"Aeroparque",2203364.73622,0,0.669923825655133,1
1086,"Fresno americano","13/12/2011 18:52","Bajo (2 - 4 mts)",14,"Chico",-68.8810057603,-32.8677921954,8,"Aeroparque",2203364.73622,0,0.241148584987968,0
1089,"Perenne","13/12/2011 18:46","Muy bajo (1 - 2 mts)",100,"Grande",-68.8809361263,-32.8675732768,8,"Aeroparque",2203364.73622,0,0.765592104755342,1
1103,"Aguaribay","13/12/2011 17:30","Medio (4 - 8 mts)",104,"Grande",-68.8797370048,-32.8676759032,8,"Aeroparque",2203364.73622,0,0.0685267923399806,0
1109,"Jacarand","13/12/2011 17:13","Muy bajo (1 - 2 mts)",16,"Chico",-68.8797564439,-32.8679889959,8,"Aeroparque",2203364.73622,0,0.173449089750648,0
1117,"Fresno americano","01/12/2011 12:33","Bajo (2 - 4 mts)",16,"Chico",-68.8762367349,-32.8661205219,8,"Aeroparque",2203364.73622,0,0.763363693607971,1
1125,"Morera","01/12/2011 08:19","Alto (> 8 mts)",138,"Grande",-68.8757942053,-32.8666739002,8,"Aeroparque",2203364.73622,0,0.461475036805496,0
1131,"Morera","01/12/2011 08:11","Alto (> 8 mts)",110,"Grande",-68.8758791671,-32.8669709308,8,"Aeroparque",2203364.73622,0,0.854083746438846,1
1136,"Fresno americano","01/12/2011 08:00","Muy bajo (1 - 2 mts)",12,"Chico",-68.8759798327,-32.8673583701,8,"Aeroparque",2203364.73622,0,0.358269037911668,0
1138,"Paraiso","30/11/2011 11:07","Medio (4 - 8 mts)",75,"Grande",-68.8760013142,-32.8674372609,8,"Aeroparque",2203364.73622,0,0.314485100097954,0
1140,"Morera","02/12/2011 10:55","Medio (4 - 8 mts)",23,"Mediano",-68.8761343597,-32.8679145581,8,"Aeroparque",2203364.73622,0,0.712912971386686,1
1142,"Perenne","02/12/2011 07:31","Medio (4 - 8 mts)",110,"Grande",-68.8770506222,-32.868360371,8,"Aeroparque",2203364.73622,0,0.779416253557429,1
1147,"Olmo comun","01/12/2011 13:20","Alto (> 8 mts)",98,"Grande",-68.8770043747,-32.8681869413,8,"Aeroparque",2203364.73622,0,0.835850429954007,1
1153,"Morera","01/12/2011 13:09","Alto (> 8 mts)",95,"Grande",-68.8769370791,-32.8679349902,8,"Aeroparque",2203364.73622,0,0.0448461840860546,0
1160,"Fresno americano","29/11/2011 12:11","Medio (4 - 8 mts)",30,"Mediano",-68.8753443846,-32.8649986733,8,"Aeroparque",2203364.73622,0,0.907557237194851,1
1162,"Tipa","29/11/2011 12:09","Bajo (2 - 4 mts)",28,"Mediano",-68.8755657827,-32.864911963,8,"Aeroparque",2203364.73622,0,0.285132652148604,0
1167,"Paraiso","29/11/2011 12:00","Muy bajo (1 - 2 mts)",2,"Chico",-68.8758330416,-32.8648596435,8,"Aeroparque",2203364.73622,0,0.455338093917817,0
1175,"Paraiso","29/11/2011 10:12","Medio (4 - 8 mts)",62,"Grande",-68.8761373532,-32.8649226986,8,"Aeroparque",2203364.73622,0,0.279364228015766,0
1183,"Conifera","29/11/2011 09:59","Medio (4 - 8 mts)",20,"Chico",-68.8761899422,-32.8651272697,8,"Aeroparque",2203364.73622,0,0.193263853667304,0
1201,"Paraiso","29/11/2011 11:21","Alto (> 8 mts)",130,"Grande",-68.8772046984,-32.8653960112,8,"Aeroparque",2203364.73622,0,0.309603095054626,0
1203,"Fresno europeo","29/11/2011 11:18","Bajo (2 - 4 mts)",28,"Mediano",-68.877233202,-32.86550301,8,"Aeroparque",2203364.73622,0,0.612572330283001,1
1218,"Paraiso sombrilla","29/11/2011 12:15","Medio (4 - 8 mts)",122,"Grande",-68.8768372801,-32.8646817055,8,"Aeroparque",2203364.73622,0,0.100418550195172,0
1219,"Paraiso sombrilla","29/11/2011 12:12","Medio (4 - 8 mts)",100,"Grande",-68.8769784443,-32.8646704108,8,"Aeroparque",2203364.73622,0,0.730644679861143,1
1220,"Jacarand","29/11/2011 12:08","Muy bajo (1 - 2 mts)",3,"Chico",-68.8770196599,-32.8647028917,8,"Aeroparque",2203364.73622,0,0.483844838105142,0
1239,"Fresno americano","29/11/2011 13:15","Bajo (2 - 4 mts)",40,"Mediano",-68.8763779455,-32.8654005648,8,"Aeroparque",2203364.73622,0,0.71378032839857,1
1251,"Paraiso","30/11/2011 11:45","Medio (4 - 8 mts)",40,"Mediano",-68.8767173189,-32.8666890952,8,"Aeroparque",2203364.73622,0,0.872497172327712,1
1270,"Palo borracho","05/12/2011 11:24","Bajo (2 - 4 mts)",90,"Grande",-68.8788154966,-32.8685753738,8,"Aeroparque",2203364.73622,0,0.726524878526106,1
1273,"Paraiso","05/12/2011 11:21","Bajo (2 - 4 mts)",46,"Mediano",-68.8786197868,-32.8686113664,8,"Aeroparque",2203364.73622,0,0.432876163395122,0
1286,"Prunas","30/11/2011 18:28","Muy bajo (1 - 2 mts)",4,"Chico",-68.8779953315,-32.8700622544,8,"Aeroparque",2203364.73622,0,0.292666018242016,0
